sku,_store,_attribute_set,_type,_category,_root_category,_product_websites,color,cost,country_of_manufacture,created_at,custom_design,custom_design_from,custom_design_to,custom_layout_update,description,gallery,gift_message_available,has_options,image,image_label,is_imported,manufacturer,media_gallery,meta_description,meta_keyword,meta_title,minimal_price,msrp,msrp_display_actual_price_type,msrp_enabled,name,news_from_date,news_to_date,options_container,page_layout,price,price_view,product_on_sale,required_options,short_description,small_image,small_image_label,special_from_date,special_price,special_to_date,status,tax_class_id,thumbnail,thumbnail_label,uab_add_info,uab_imprint_options,uab_imprint_size,uab_price_includes,uab_production_time,uab_production_time_filter,uab_product_block,uab_product_colors,uab_product_size,uab_ships_from,updated_at,url_key,url_path,visibility,weight,qty,min_qty,use_config_min_qty,is_qty_decimal,backorders,use_config_backorders,min_sale_qty,use_config_min_sale_qty,max_sale_qty,use_config_max_sale_qty,is_in_stock,notify_stock_qty,use_config_notify_stock_qty,manage_stock,use_config_manage_stock,stock_status_changed_auto,use_config_qty_increments,qty_increments,use_config_enable_qty_inc,enable_qty_increments,is_decimal_divided,_links_related_sku,_links_related_position,_links_crosssell_sku,_links_crosssell_position,_links_upsell_sku,_links_upsell_position,_associated_sku,_associated_default_qty,_associated_position,_tier_price_website,_tier_price_customer_group,_tier_price_qty,_tier_price_price,_group_price_website,_group_price_customer_group,_group_price_price,_media_attribute_id,_media_image,_media_lable,_media_position,_media_is_disabled,_custom_option_store,_custom_option_type,_custom_option_title,_custom_option_is_required,_custom_option_price,_custom_option_sku,_custom_option_max_characters,_custom_option_sort_order,_custom_option_row_title,_custom_option_row_price,_custom_option_row_sku,_custom_option_row_sort
UB1039060,,UAB,simple,Manufacturers/Hit,,base,,,,"2011-06-21 09:48:28",,,,,"Imprint Type: 4 Color Process Label<br>Packaging: 200 per carton @ 17 lbs.<br><br> ",,,1,/u/b/ub1039060_image.jpg,,No,,,,,"Promotional 1 Oz. Sunscreen Bottle, Custom Imprinted for under $1 | Underabuck.com (UB1039060)",,,"Use config","Use config","1 Oz. Sunscreen Bottle",,,"Product Info Column",,1.7000,"Price Range",,1,"Protect Your Skin From Sun Damaging Rays. | SPF 30 | Protects against both UVA and UVB radiation.",/u/b/ub1039060_small_image.jpg,,,,,1,2,/u/b/ub1039060_thumbnail.jpg,,,,"1 1/2"" W x 1"" H","4 color process/one location imprint","3-5 Working Days","< 7 days",,,"3 1/8""",South,"2013-01-14 19:03:03",1-oz-sunscreen-bottle-promotional-cheap-imprinted-ub1039060,1-oz-sunscreen-bottle-promotional-cheap-imprinted-ub1039060.html,4,0.0850,0.0000,0.0000,1,0,0,1,250.0000,0,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,all,all,500.0000,1.3500,,,,77,/u/b/ub1039060_image.jpg,,0,1,,drop_down,"Product Color",1,,,,1,White,0.0000,,0
,,,,Outdoors/Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"< 10 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,1000.0000,1.3000,,,,77,/u/b/ub1039060_small_image.jpg,,1,1,,drop_down,"Imprint Color",1,,,,2,"4 Color Process Label",0.0000,,0
,,,,"Household/First Aid",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,2500.0000,0.9900,,,,77,/u/b/ub1039060_thumbnail.jpg,,2,1,,field,"Imprinting Notes",0,0.0000,,0,6,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,file,"Upload Artwork",0,0.0000,"Ref file",,5,,,,
UB10377,,UAB,simple,Household/Function/Tools,,base,,,,"2011-06-21 09:48:30",,,,,"Imprint Type: Pad Print<br>Packaging: Poly Bag, 250 per carton @ 19 lbs.<br><br> ",,,1,/u/b/ub10377_image.jpg,,No,,,,,"Promotional Tri-Function Blinking Light, Custom Imprinted for under $1 | Underabuck.com (UB10377)",,,,,"Tri-Function Blinking Light",,,"Product Info Column",,1.5000,"Price Range",,1,"Three Different Light Settings | Swivel Clip For Attachment | Batteries Included, Inserted | Push Button To Turn On/Off",/u/b/ub10377_small_image.jpg,,,,,1,2,/u/b/ub10377_thumbnail.jpg,,,,"1 3/4"" Diameter","one color/one location imprint","3-5 Working Days","< 7 days",,,"2 1/2"" Diameter x 5"" H",South,"2011-11-23 14:01:41",tri-function-blinking-light-promotional-cheap-imprinted-ub10377,tri-function-blinking-light-promotional-cheap-imprinted-ub10377.html,4,0.0760,0.0000,0.0000,1,0,0,1,250.0000,0,0.0000,1,0,,1,0,1,1,1,0.0000,1,0,0,,,,,,,,,,all,all,500.0000,1.4600,,,,77,/u/b/ub10377_image.jpg,,0,1,,drop_down,"Product Color",1,,,,1,Blue,0.0000,,0
,,,,Manufacturers/Hit,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"< 10 days",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,1000.0000,1.4200,,,,77,/u/b/ub10377_small_image.jpg,,1,1,,,,,,,,,Charcoal,0.0000,,0
,,,,Outdoors/Outdoors,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,all,all,2500.0000,0.9900,,,,77,/u/b/ub10377_thumbnail.jpg,,2,1,,,,,,,,,Clear,0.0000,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/7/7/77green.jpg,,3,0,,,,,,,,,Green,0.0000,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/7/7/77yellow.jpg,,4,0,,,,,,,,,Red,0.0000,,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,77,/7/7/77clear.jpg,,5,0,,,,,,,,,Yellow,0.0000,,0
